Material, Density kg/m^3, Speed of Sound m/s
M_Landscape, 3200, 4500
M_URockA, 3000, 5000
M_URockB, 3000, 5000
M_URockC, 3000, 5000
M_URockD, 3000, 5000
M_URockE, 3000, 5000
M_Sub, 8000, 3150
M_ship-9, 8000, 3150
M_Steel_1, 8000, 3150
M_Steel_2, 8000, 3150
M_SpongeOrange, 2000, 2500
M_Coralline, 2000, 2500
M_Pier_Concrete_01, 2400, 3700
MI_Concrete_2, 2400, 3700
MI_Concrete_3, 2400, 3700
M_Ground_Gravel, 6000, 1920
M_Pier_Fence_01, 1000, 5000
M_Pier_Wood_01, 1000, 5000
color_d6775eff, 10000, 10000
